스포츠무용학부·
3 1전선 DE0058 현대무용VII 2 2 1 류진욱 목3,4 M509 -
3 1전선 DE0058 현대무용VII 2 2 2 한선숙 화1,2 M509 -
3 1전선 DE0097 무용과건강관리 2 2 1 박인실 금3,4 M205 -
3 1전선 DE9214 통합예술교육프로그램이해 2 2 1 라우코우트아우제프,송경희 화3,4 M213 -
3 1전선 DE9215 무용감상및비평 2 2 1 김호정,오미은 금5,6 M205 -
4 1전선 DE0067 한국무용졸업작품연구I 2 2 1 김지영 목5,6 M508 -
4 1전선 DE0068 발레졸업작품연구I 2 2 1 박재근 월3,4 M507 -
4 1전선 DE0069 현대무용졸업작품연구I 2 2 1 남진희 월3,4 M504 -
4 1전선 DE0071 무용처방 2 2 1 하은하 월7,8 M205 -
4 1전선 DE0100 한국무용졸업작품연구II 2 2 1 김지영 월3,4 M508 -
4 1전선 DE0101 발레졸업작품연구II 2 2 1 박재근 수7,8 M507 -
4 1전선 DE0102 현대무용졸업작품연구II 2 2 1 남진희 수3,4 M504 -
4 1전선 DE5006 무용디지털코딩 2 2 1 류윤지 목3,4 A501 -
전체 일선 RO9008 커뮤니케이션기법(문화예술교육사지정) 2 2 1 박재근,송경희 화1,2 M213 -
